ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.165,-0.126,1.094,-10.468,15.801,0.096,2
-0.119,-0.086,0.931,2.278,20.477,8.904,2
-0.102,0.038,0.828,11.392,12.600,7.730,2
-0.086,-0.017,0.788,-4.008,-8.081,-3.151,2
-0.131,-0.075,0.993,-9.316,-13.296,-1.424,2
-0.150,-0.080,1.026,2.487,-4.808,1.858,2
-0.190,-0.014,1.072,8.179,-0.384,-1.044,2
-0.198,-0.078,1.175,-14.694,9.039,-0.422,2
-0.138,-0.151,1.024,-5.300,21.124,3.896,2
-0.095,-0.088,0.891,3.814,16.628,6.901,2
-0.086,0.028,0.840,3.849,4.148,5.381,2
-0.099,-0.033,0.894,2.906,-7.613,0.752,2
-0.167,-0.062,1.168,0.881,-8.296,0.062,2
-0.164,-0.091,1.090,-9.036,6.522,0.096,2
-0.130,-0.065,0.953,4.722,12.348,4.483,2
-0.136,0.046,0.891,6.084,4.148,3.343,2
-0.130,0.005,0.978,-14.240,-4.160,-6.846,2
-0.110,-0.125,1.021,5.386,-0.384,-1.631,2
-0.091,-0.056,0.920,13.382,1.342,3.861,2
-0.109,-0.042,0.901,14.989,-4.232,2.445,2
-0.198,-0.009,1.164,-6.417,-4.376,-6.846,2
-0.192,-0.143,1.190,-20.630,10.154,-2.736,2
-0.129,-0.119,0.968,-0.970,22.095,3.205,2
-0.081,-0.023,0.831,2.802,13.535,4.483,2
-0.079,-0.014,0.847,6.119,1.414,3.136,2
-0.133,-0.015,1.008,-1.354,-5.779,-1.631,2
-0.152,-0.139,1.121,-4.776,4.508,-2.563,2
-0.129,-0.055,0.988,-3.030,12.960,1.754,2
-0.098,-0.016,0.909,2.068,8.608,1.650,2
-0.090,-0.013,0.901,2.278,-2.074,1.374,2
-0.097,-0.090,0.941,7.900,-5.491,-0.906,2
-0.133,-0.042,1.060,5.490,-5.563,-5.568,2
-0.148,-0.164,1.093,0.148,3.249,-3.531,2
-0.147,-0.054,1.055,2.103,15.190,0.062,2
-0.101,-0.048,0.962,2.313,15.837,-4.049,2
-0.062,-0.117,0.896,4.932,11.305,-0.664,2
-0.061,-0.061,0.908,1.405,2.817,0.614,2
-0.101,-0.083,1.026,0.392,-1.499,1.961,2
-0.127,-0.148,1.098,-6.103,5.407,-2.287,2
-0.120,-0.097,1.077,0.776,16.268,2.238,2
-0.089,-0.051,0.981,0.252,19.218,1.374,2
-0.057,-0.077,0.918,-0.481,13.751,0.580,2
-0.066,-0.002,0.933,4.373,6.306,3.377,2
-0.065,-0.026,0.914,-4.497,0.012,-1.355,2
-0.091,-0.063,1.031,-0.725,0.048,0.131,2
-0.104,-0.058,1.041,0.182,6.953,1.098,2
-0.082,-0.075,1.011,-0.691,10.730,-0.111,2
-0.059,-0.062,0.949,4.687,10.658,3.550,2
-0.059,0.035,0.891,3.709,1.882,2.030,2
-0.063,-0.085,0.966,-2.960,-7.002,-3.461,2
-0.094,-0.037,1.019,-1.529,-7.397,-1.527,2
