ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.060,-0.040,1.101,1.370,-11.354,-3.669,2
0.054,-0.097,1.027,-2.925,3.752,4.794,2
0.060,0.078,1.056,-1.878,4.112,12.980,2
0.064,0.121,0.976,-1.005,12.528,-2.805,2
0.065,-0.062,0.883,1.544,-1.067,-7.537,2
0.047,-0.019,1.024,4.094,-8.800,-0.042,2
0.058,-0.012,1.055,-1.598,1.666,-1.976,2
0.070,0.059,1.013,0.252,7.960,5.761,2
0.076,0.022,0.950,-2.856,13.859,-5.430,2
0.071,-0.043,0.938,-1.459,-0.132,-0.042,2
0.070,0.026,1.030,-0.586,-0.240,0.269,2
0.063,0.012,0.975,-1.598,2.781,2.272,2
0.068,0.042,0.969,-2.960,-1.607,0.925,2
0.075,-0.003,0.979,4.268,-5.024,-2.114,2
0.076,0.017,0.976,2.802,-0.851,0.165,2
0.065,0.006,0.956,-1.808,-0.132,1.132,2
0.063,0.006,0.995,-4.602,-8.512,3.447,2
0.068,0.040,1.014,-2.786,-3.441,0.787,2
0.003,0.022,1.023,3.081,0.012,2.203,2
0.049,0.054,0.940,2.243,1.235,-1.009,2
0.062,-0.056,0.977,-0.027,-6.174,0.269,2
0.068,0.032,1.023,-2.052,7.493,5.554,2
0.069,0.057,0.971,-2.122,-0.995,-1.769,2
0.048,0.017,1.042,-1.773,2.170,-1.562,2
0.057,-0.043,0.951,3.849,-3.801,-2.563,2
0.051,0.006,1.047,4.198,-1.247,5.899,2
0.057,0.056,1.007,3.605,-3.117,1.581,2
0.064,0.032,1.005,1.370,2.853,-1.251,2
0.069,0.035,0.948,0.008,1.882,-2.218,2
0.056,-0.021,0.972,0.357,-4.556,-4.636,2
0.050,-0.063,1.053,1.614,-2.542,4.966,2
0.054,0.056,0.946,3.290,1.810,5.968,2
0.046,0.023,1.007,-0.132,-3.297,1.685,2
0.060,0.066,0.984,-0.795,1.702,-0.146,2
0.060,0.031,0.985,-0.621,-0.096,-6.190,2
0.060,-0.033,0.932,1.055,-2.362,-2.425,2
0.061,-0.027,1.023,-1.110,-6.678,1.720,2
0.056,0.043,1.002,-1.633,2.457,3.896,2
0.061,0.033,0.985,-2.297,0.911,0.131,2
0.050,0.058,0.986,-4.322,0.983,-1.769,2
0.036,0.029,0.945,-5.579,-1.535,-6.570,2
0.010,-0.042,0.984,-4.183,-9.088,-2.425,2
0.060,0.096,1.013,7.132,-13.548,-1.631,2
0.071,-0.003,1.076,7.516,-5.275,-8.366,2
0.049,0.002,1.001,4.792,6.522,0.269,2
0.030,0.060,0.993,-1.738,5.011,1.271,2
0.033,0.015,0.993,-2.821,4.436,-2.598,2
0.030,0.011,0.984,0.986,2.817,-1.769,2
0.037,-0.023,0.988,4.268,0.048,-1.665,2
0.051,-0.014,0.977,7.097,3.357,-1.147,2
0.061,-0.032,0.978,3.081,1.163,-1.078,2
