ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.003,-0.176,0.929,251.818,8.032,13.636,2
-0.012,-0.200,0.864,174.819,9.651,13.394,2
0.008,-0.139,0.824,36.290,-2.830,-6.881,2
-0.037,-0.391,0.981,-37.741,-13.476,-18.245,2
-0.042,-0.218,0.942,18.516,0.839,1.581,2
-0.048,-0.244,0.979,29.481,-3.153,-0.007,2
-0.026,-0.293,0.931,20.785,-3.261,-0.318,2
-0.032,-0.291,0.944,-2.367,-4.160,0.027,2
-0.049,-0.242,0.945,-17.697,-3.837,-3.082,2
-0.047,-0.250,0.917,-50.242,-13.152,-15.378,2
-0.083,-0.275,1.038,-40.709,-15.598,-15.102,2
-0.061,-0.252,1.030,10.624,-0.923,0.614,2
-0.050,-0.279,0.987,8.563,-1.607,2.756,2
-0.056,-0.218,0.916,-1.983,-4.556,2.272,2
-0.061,-0.192,0.899,-16.090,-9.124,-1.942,2
-0.066,-0.203,0.952,-51.430,-18.295,-11.337,2
-0.069,-0.162,0.955,-92.601,-16.353,-19.799,2
-0.093,-0.289,1.054,-59.706,-13.620,-4.843,2
-0.078,-0.179,0.990,21.135,-7.002,8.420,2
-0.077,-0.222,1.007,33.601,-5.671,6.417,2
-0.082,-0.210,0.986,32.030,0.228,8.869,2
-0.094,-0.239,0.959,28.154,5.946,11.287,2
-0.138,-0.013,0.963,-24.087,-0.708,-6.950,2
-0.064,-0.261,1.000,-49.963,-5.491,-13.167,2
-0.062,-0.215,1.013,-58.798,3.357,-8.194,2
-0.129,-0.113,0.945,-67.807,1.702,-6.501,2
-0.072,-0.185,1.026,-35.052,-1.247,-7.710,2
-0.059,-0.183,1.039,-8.582,7.133,1.720,2
-0.060,-0.148,0.963,0.392,11.413,2.203,2
-0.052,-0.149,0.898,-4.148,12.024,0.338,2
-0.113,0.032,0.981,-40.779,-5.671,-4.325,2
-0.066,-0.203,0.982,-20.141,0.731,-3.012,2
-0.079,-0.117,1.009,17.992,1.414,1.650,2
-0.067,-0.164,1.006,23.719,1.774,2.825,2
-0.061,-0.154,0.951,27.665,5.515,6.141,2
-0.074,-0.087,0.936,12.719,1.738,5.001,2
-0.081,-0.124,0.971,-6.976,-4.448,2.928,2
-0.071,-0.120,0.973,-8.757,-2.074,2.410,2
-0.082,-0.160,0.984,5.874,-0.564,0.649,2
-0.074,-0.114,0.931,17.154,-0.204,1.927,2
-0.063,-0.171,0.967,12.090,-0.492,-0.215,2
-0.106,-0.178,1.004,3.116,-2.470,3.032,2
-0.063,-0.232,1.023,2.278,3.393,4.241,2
-0.064,-0.128,0.980,-2.437,4.472,5.415,2
-0.071,-0.140,0.989,-5.195,4.328,4.966,2
-0.078,-0.094,0.988,-2.541,11.485,2.030,2
-0.084,-0.108,0.842,-17.452,14.866,-1.251,2
-0.104,-0.066,1.062,-56.144,-5.851,-10.370,2
-0.066,-0.179,1.000,-28.976,-1.607,-1.873,2
-0.074,-0.109,0.943,-0.097,3.788,1.305,2
-0.059,-0.114,0.946,24.696,-1.894,-2.529,2
-0.071,-0.152,1.052,27.106,-4.268,1.271,2
-0.102,-0.088,1.002,13.278,2.889,3.136,2
-0.076,-0.116,0.972,0.636,3.824,-1.596,2
-0.074,-0.168,1.012,10.659,3.321,2.998,2
-0.068,-0.143,0.995,12.859,0.371,2.134,2
-0.060,-0.151,1.016,6.503,1.199,0.407,2
-0.047,-0.241,1.072,22.287,7.421,5.346,2
-0.052,-0.127,0.964,23.404,12.996,8.179,2
-0.061,-0.085,0.869,12.195,8.284,4.552,2
-0.051,-0.166,0.994,-5.614,-1.499,-2.667,2
-0.054,-0.198,1.005,4.443,1.522,0.925,2
-0.049,-0.186,0.951,9.925,3.393,2.134,2
-0.046,-0.212,0.982,6.747,0.515,2.790,2
-0.056,-0.188,0.982,6.608,5.407,5.692,2
-0.095,-0.065,0.934,4.617,6.162,5.312,2
-0.045,-0.209,0.953,-0.167,1.954,-1.873,2
-0.050,-0.177,1.005,2.068,0.623,0.856,2
-0.060,-0.144,0.992,-1.913,1.127,0.372,2
-0.044,-0.199,1.034,6.294,4.436,-0.111,2
-0.031,-0.190,0.982,17.922,5.335,4.276,2
-0.048,-0.150,0.944,17.887,7.888,4.379,2
-0.071,-0.041,0.938,-4.881,-1.679,-1.631,2
-0.043,-0.221,0.974,-1.459,1.055,-0.629,2
-0.049,-0.208,0.994,2.452,2.278,0.476,2
-0.043,-0.227,1.020,22.462,8.140,4.966,2
-0.026,-0.192,0.952,36.255,12.816,8.800,2
-0.050,-0.188,0.964,30.458,8.716,5.899,2
-0.029,-0.183,0.961,8.633,4.543,1.098,2
-0.040,-0.170,0.960,5.874,5.587,2.894,2
-0.039,-0.208,0.960,-9.909,1.091,-1.700,2
-0.018,-0.304,1.015,5.036,4.867,1.581,2
-0.038,-0.226,1.001,26.652,11.917,6.797,2
-0.043,-0.223,0.967,18.131,5.874,3.757,2
-0.028,-0.268,1.006,18.131,4.903,3.792,2
-0.030,-0.243,0.969,20.087,9.831,5.105,2
-0.025,-0.210,0.886,12.719,7.313,3.585,2
-0.023,-0.243,0.945,6.468,2.529,1.098,2
-0.014,-0.234,0.963,7.551,1.199,2.238,2
0.095,1.368,-0.966,-330.303,46.049,94.978,3
0.238,1.009,-0.208,-150.009,-18.835,-16.863,3
0.157,0.805,-0.195,-168.168,26.339,-21.388,3
0.135,0.730,-0.276,-248.275,110.141,21.546,3
0.092,0.822,-0.763,-238.288,116.399,33.669,3
-0.023,0.568,-0.754,-152.314,44.502,10.562,3
-0.011,0.548,-0.607,-119.315,27.778,7.281,3
0.039,0.479,-0.571,-126.578,44.142,8.455,3
0.093,0.636,-0.490,-170.089,77.951,24.585,3
-0.044,0.792,-0.952,-215.520,89.388,1.547,3
0.060,-0.730,-0.739,-126.194,118.988,109.796,3
-0.119,0.723,-1.307,-201.866,3.896,308.368,3
-0.099,0.690,-0.859,-177.701,-84.833,146.513,3
0.045,0.486,-0.551,-79.296,-50.917,122.162,3
-0.174,0.613,-0.679,-96.931,-22.467,89.314,3
-0.218,0.436,-1.278,-103.635,58.133,77.639,3
-0.182,0.521,-1.138,-119.908,12.456,86.447,3
-0.194,0.364,-0.965,-79.052,-8.153,79.021,3
-0.203,0.212,-0.879,-84.010,17.779,77.501,3
-0.201,0.288,-0.753,-112.296,30.655,56.708,3
-0.279,0.234,-1.100,-139.114,44.034,44.308,3
-0.281,0.283,-1.178,-105.905,18.930,12.565,3
-0.256,0.111,-0.992,-123.680,7.565,-13.513,3
